"2015-01-03 03:30:00",8.765
"2015-01-03 03:45:00",8.688
"2015-01-03 04:00:00",8.746
"2015-01-03 04:15:00",8.861
"2015-01-03 04:30:00",8.746
"2015-01-03 04:45:00",8.842
"2015-01-03 05:00:00",8.592
"2015-01-03 05:15:00",9.053
"2015-01-03 05:30:00",8.794
"2015-01-03 05:45:00",8.851
"2015-01-03 06:00:00",8.534
"2015-01-03 06:15:00",8.803
"2015-01-03 06:30:00",8.678
"2015-01-03 06:45:00",8.678
"2015-01-03 07:00:00",8.976
"2015-01-03 07:15:00",8.736
"2015-01-03 07:30:00",8.966
"2015-01-03 07:45:00",8.813
"2015-01-03 08:00:00",8.794
"2015-01-03 08:15:00",8.63
"2015-01-03 08:30:00",8.774
"2015-01-03 08:45:00",8.813
"2015-01-03 09:00:00",8.726
"2015-01-03 09:15:00",8.669
"2015-01-03 09:30:00",8.525
"2015-01-03 09:45:00",8.515
"2015-01-03 10:00:00",9.149
"2015-01-03 10:15:00",8.957
"2015-01-03 10:30:00",8.88
"2015-01-03 10:45:00",8.659
"2015-01-03 11:00:00",8.976
"2015-01-03 11:15:00",8.89
"2015-01-03 11:30:00",8.688
"2015-01-03 11:45:00",8.688
"2015-01-03 12:00:00",9.168
"2015-01-03 12:15:00",8.544
"2015-01-03 12:30:00",8.909
"2015-01-03 12:45:00",9.216
"2015-01-03 13:00:00",8.832
"2015-01-03 13:15:00",8.755
"2015-01-03 13:30:00",9.091
"2015-01-03 13:45:00",8.995
"2015-01-03 14:00:00",8.765
"2015-01-03 14:15:00",8.851
"2015-01-03 14:30:00",9.427
"2015-01-03 14:45:00",8.995
"2015-01-03 15:00:00",8.976
"2015-01-03 15:15:00",9.139
"2015-01-03 15:30:00",9.187
"2015-01-03 15:45:00",8.794
"2015-01-03 16:00:00",9.005
"2015-01-03 16:15:00",9.35
"2015-01-03 16:30:00",9.389
"2015-01-03 16:45:00",8.986
"2015-01-03 17:00:00",9.082
"2015-01-03 17:15:00",9.178
"2015-01-03 17:30:00",9.331
"2015-01-03 17:45:00",8.832
"2015-01-03 18:00:00",9.005
"2015-01-03 18:15:00",9.398
"2015-01-03 18:30:00",9.053
"2015-01-03 18:45:00",8.822
"2015-01-03 19:00:00",9.36
"2015-01-03 19:15:00",8.928
"2015-01-03 19:30:00",8.813
"2015-01-03 19:45:00",9.514
"2015-01-03 20:00:00",9.149
"2015-01-03 20:15:00",8.755
"2015-01-03 20:30:00",8.851
"2015-01-03 20:45:00",9.12
"2015-01-03 21:00:00",8.765
"2015-01-03 21:15:00",8.765
"2015-01-03 21:30:00",9.293
"2015-01-03 21:45:00",8.736
"2015-01-03 22:00:00",9.091
"2015-01-03 22:15:00",8.822
"2015-01-03 22:30:00",9.043
"2015-01-03 22:45:00",8.63
"2015-01-03 23:00:00",8.803
"2015-01-03 23:15:00",8.851
"2015-01-03 23:30:00",8.87
"2015-01-03 23:45:00",8.611
"2015-01-04 00:00:00",28.954
"2015-01-04 00:15:00",8.678
"2015-01-04 00:30:00",9.005
"2015-01-04 00:45:00",8.832
"2015-01-04 01:00:00",8.659
"2015-01-04 01:15:00",8.813
"2015-01-04 01:30:00",8.88
"2015-01-04 01:45:00",8.698
"2015-01-04 02:00:00",8.755
"2015-01-04 02:15:00",8.803
"2015-01-04 02:30:00",8.765
"2015-01-04 02:45:00",8.947
"2015-01-04 03:00:00",8.947
"2015-01-04 03:15:00",8.774
"2015-01-04 03:30:00",8.717
"2015-01-04 03:45:00",8.726
"2015-01-04 04:00:00",8.774
"2015-01-04 04:15:00",8.851
"2015-01-04 04:30:00",10.253
"2015-01-04 04:45:00",8.717
"2015-01-04 05:00:00",8.803
"2015-01-04 05:15:00",8.842
"2015-01-04 05:30:00",8.947
"2015-01-04 05:45:00",8.659
"2015-01-04 06:00:00",9.907
"2015-01-04 06:15:00",9.187
"2015-01-04 06:30:00",9.091
"2015-01-04 06:45:00",8.803
"2015-01-04 07:00:00",8.746
"2015-01-04 07:15:00",11.75
"2015-01-04 07:30:00",14.966
"2015-01-04 07:45:00",13.565
"2015-01-04 08:00:00",13.498
"2015-01-04 08:15:00",15.168
"2015-01-04 08:30:00",16.042
"2015-01-04 08:45:00",14.266
"2015-01-04 09:00:00",14.746
"2015-01-04 09:15:00",48.96
"2015-01-04 09:30:00",54.806
"2015-01-04 09:45:00",49.45
"2015-01-04 10:00:00",45.965
"2015-01-04 10:15:00",44.938
"2015-01-04 10:30:00",40.31
"2015-01-04 10:45:00",40.234
"2015-01-04 11:00:00",38.976
"2015-01-04 11:15:00",37.344
"2015-01-04 11:30:00",37.258
"2015-01-04 11:45:00",37.018
"2015-01-04 12:00:00",37.133
"2015-01-04 12:15:00",37.757
"2015-01-04 12:30:00",35.357
"2015-01-04 12:45:00",32.794
"2015-01-04 13:00:00",31.421
"2015-01-04 13:15:00",28.992
"2015-01-04 13:30:00",29.03
"2015-01-04 13:45:00",28.704
"2015-01-04 14:00:00",30.298
"2015-01-04 14:15:00",30.442
"2015-01-04 14:30:00",30.202
"2015-01-04 14:45:00",29.501
"2015-01-04 15:00:00",26.88
"2015-01-04 15:15:00",27.466
"2015-01-04 15:30:00",23.424
"2015-01-04 15:45:00",23.117
"2015-01-04 16:00:00",24.47
"2015-01-04 16:15:00",24.931
"2015-01-04 16:30:00",21.917
"2015-01-04 16:45:00",19.958
"2015-01-04 17:00:00",18.835
"2015-01-04 17:15:00",19.075
"2015-01-04 17:30:00",17.712
"2015-01-04 17:45:00",17.472
"2015-01-04 18:00:00",16.349
"2015-01-04 18:15:00",17.136
"2015-01-04 18:30:00",21.84
"2015-01-04 18:45:00",22.483
"2015-01-04 19:00:00",28.042
"2015-01-04 19:15:00",28.56
"2015-01-04 19:30:00",28.915
"2015-01-04 19:45:00",29.117
"2015-01-04 20:00:00",28.915
"2015-01-04 20:15:00",28.733
"2015-01-04 20:30:00",28.694
"2015-01-04 20:45:00",28.483
"2015-01-04 21:00:00",29.242
"2015-01-04 21:15:00",30.096
"2015-01-04 21:30:00",30.24
"2015-01-04 21:45:00",31.392
"2015-01-04 22:00:00",31.507
"2015-01-04 22:15:00",31.546
"2015-01-04 22:30:00",31.478
"2015-01-04 22:45:00",34.445
"2015-01-04 23:00:00",33.168
"2015-01-04 23:15:00",31.19
"2015-01-04 23:30:00",33.869
"2015-01-04 23:45:00",32.179
"2015-01-05 00:00:00",26.995
"2015-01-05 00:15:00",10.944
"2015-01-05 00:30:00",10.579
"2015-01-05 00:45:00",10.714
"2015-01-05 01:00:00",10.301
"2015-01-05 01:15:00",10.474
"2015-01-05 01:30:00",10.07
"2015-01-05 01:45:00",9.725
"2015-01-05 02:00:00",10.435
"2015-01-05 02:15:00",10.099
"2015-01-05 02:30:00",9.725
"2015-01-05 02:45:00",10.224
"2015-01-05 03:00:00",10.474
"2015-01-05 03:15:00",10.022
"2015-01-05 03:30:00",13.094
"2015-01-05 03:45:00",16.944
"2015-01-05 04:00:00",20.342
"2015-01-05 04:15:00",19.814
"2015-01-05 04:30:00",23.098
"2015-01-05 04:45:00",28.378
"2015-01-05 05:00:00",33.456
"2015-01-05 05:15:00",37.834
"2015-01-05 05:30:00",38.304
"2015-01-05 05:45:00",36.547
"2015-01-05 06:00:00",33.504
"2015-01-05 06:15:00",34.291
"2015-01-05 06:30:00",35.933
"2015-01-05 06:45:00",34.531
"2015-01-05 07:00:00",34.81
"2015-01-05 07:15:00",39.984
"2015-01-05 07:30:00",40.118
"2015-01-05 07:45:00",38.976
"2015-01-05 08:00:00",39.034
"2015-01-05 08:15:00",41.203
"2015-01-05 08:30:00",44.419
"2015-01-05 08:45:00",41.904
"2015-01-05 09:00:00",39.658
"2015-01-05 09:15:00",39.254
"2015-01-05 09:30:00",38.256
"2015-01-05 09:45:00",36.653
"2015-01-05 10:00:00",38.083
"2015-01-05 10:15:00",39.331
"2015-01-05 10:30:00",37.258
"2015-01-05 10:45:00",37.344
"2015-01-05 11:00:00",37.526
"2015-01-05 11:15:00",37.834
"2015-01-05 11:30:00",36.182
"2015-01-05 11:45:00",34.109
"2015-01-05 12:00:00",34.253
"2015-01-05 12:15:00",34.493
"2015-01-05 12:30:00",32.381
"2015-01-05 12:45:00",30.586
"2015-01-05 13:00:00",30.922
"2015-01-05 13:15:00",28.925
"2015-01-05 13:30:00",28.646
"2015-01-05 13:45:00",25.93
"2015-01-05 14:00:00",24.643
"2015-01-05 14:15:00",25.277
"2015-01-05 14:30:00",25.459
"2015-01-05 14:45:00",25.402
"2015-01-05 15:00:00",25.238
"2015-01-05 15:15:00",26.256
"2015-01-05 15:30:00",25.987
"2015-01-05 15:45:00",23.587
"2015-01-05 16:00:00",24.163
"2015-01-05 16:15:00",21.264
"2015-01-05 16:30:00",20.314
"2015-01-05 16:45:00",18.922
"2015-01-05 17:00:00",19.075
"2015-01-05 17:15:00",18.749
"2015-01-05 17:30:00",17.405
"2015-01-05 17:45:00",18.154
"2015-01-05 18:00:00",20.582
"2015-01-05 18:15:00",20.4
"2015-01-05 18:30:00",19.757
"2015-01-05 18:45:00",19.373
"2015-01-05 19:00:00",23.002
"2015-01-05 19:15:00",23.789
"2015-01-05 19:30:00",24.038
"2015-01-05 19:45:00",24.461
"2015-01-05 20:00:00",23.702
"2015-01-05 20:15:00",22.282
"2015-01-05 20:30:00",24.346
"2015-01-05 20:45:00",25.248
"2015-01-05 21:00:00",24.96
"2015-01-05 21:15:00",24.566
"2015-01-05 21:30:00",24.979
"2015-01-05 21:45:00",24.624
"2015-01-05 22:00:00",25.027
"2015-01-05 22:15:00",24.413
"2015-01-05 22:30:00",25.181
"2015-01-05 22:45:00",25.354
"2015-01-05 23:00:00",27.062
"2015-01-05 23:15:00",25.027
"2015-01-05 23:30:00",26.256
"2015-01-05 23:45:00",26.698
"2015-01-06 00:00:00",16.694
"2015-01-06 00:15:00",10.685
"2015-01-06 00:30:00",10.589
"2015-01-06 00:45:00",10.714
"2015-01-06 01:00:00",10.666
"2015-01-06 01:15:00",10.445
"2015-01-06 01:30:00",10.742
"2015-01-06 01:45:00",10.762
"2015-01-06 02:00:00",10.502
"2015-01-06 02:15:00",10.013
"2015-01-06 02:30:00",9.811
"2015-01-06 02:45:00",10.31
"2015-01-06 03:00:00",10.099
"2015-01-06 03:15:00",9.658
"2015-01-06 03:30:00",10.032
"2015-01-06 03:45:00",10.493
"2015-01-06 04:00:00",10.205
"2015-01-06 04:15:00",10.666
"2015-01-06 04:30:00",18.298
"2015-01-06 04:45:00",25.066
"2015-01-06 05:00:00",30.221
"2015-01-06 05:15:00",32.304
"2015-01-06 05:30:00",33.139
"2015-01-06 05:45:00",33.312
"2015-01-06 06:00:00",29.99
"2015-01-06 06:15:00",32.947
"2015-01-06 06:30:00",33.83
"2015-01-06 06:45:00",29.443
"2015-01-06 07:00:00",28.33
"2015-01-06 07:15:00",32.995
"2015-01-06 07:30:00",34.81
"2015-01-06 07:45:00",29.856
"2015-01-06 08:00:00",29.75
"2015-01-06 08:15:00",30.442
"2015-01-06 08:30:00",29.952
"2015-01-06 08:45:00",29.654
"2015-01-06 09:00:00",29.693
"2015-01-06 09:15:00",30.662
"2015-01-06 09:30:00",30.499
"2015-01-06 09:45:00",30.672
"2015-01-06 10:00:00",30.97
"2015-01-06 10:15:00",30.278
"2015-01-06 10:30:00",28.032
"2015-01-06 10:45:00",28.666
"2015-01-06 11:00:00",28.589
"2015-01-06 11:15:00",28.637
"2015-01-06 11:30:00",28.378
"2015-01-06 11:45:00",29.165
"2015-01-06 12:00:00",28.8
"2015-01-06 12:15:00",29.328
"2015-01-06 12:30:00",28.637
"2015-01-06 12:45:00",28.954
"2015-01-06 13:00:00",30.71
"2015-01-06 13:15:00",29.616
"2015-01-06 13:30:00",28.992
"2015-01-06 13:45:00",29.722
"2015-01-06 14:00:00",26.141
"2015-01-06 14:15:00",26.486
"2015-01-06 14:30:00",26.189
"2015-01-06 14:45:00",26.15
"2015-01-06 15:00:00",28.704
"2015-01-06 15:15:00",28.944
"2015-01-06 15:30:00",29.338
"2015-01-06 15:45:00",25.987
"2015-01-06 16:00:00",26.602
"2015-01-06 16:15:00",23.366
"2015-01-06 16:30:00",19.306
"2015-01-06 16:45:00",20.928
"2015-01-06 17:00:00",21.494
"2015-01-06 17:15:00",21.792
"2015-01-06 17:30:00",21.84
"2015-01-06 17:45:00",21.744
"2015-01-06 18:00:00",21.062
"2015-01-06 18:15:00",20.342
"2015-01-06 18:30:00",20.688
"2015-01-06 18:45:00",18.019
"2015-01-06 19:00:00",18.192
"2015-01-06 19:15:00",20.957
"2015-01-06 19:30:00",21.581
"2015-01-06 19:45:00",21.312
"2015-01-06 20:00:00",21.005
"2015-01-06 20:15:00",20.342
"2015-01-06 20:30:00",19.699
"2015-01-06 20:45:00",19.584
"2015-01-06 21:00:00",18.797
"2015-01-06 21:15:00",18.557
"2015-01-06 21:30:00",16.646
"2015-01-06 21:45:00",15.974
"2015-01-06 22:00:00",18.739
"2015-01-06 22:15:00",18.749
"2015-01-06 22:30:00",18.931
"2015-01-06 22:45:00",19.152
"2015-01-06 23:00:00",19.325
"2015-01-06 23:15:00",17.981
"2015-01-06 23:30:00",18.95
"2015-01-06 23:45:00",19.123
"2015-01-07 00:00:00",18.202
"2015-01-07 00:15:00",11.155
"2015-01-07 00:30:00",10.915
"2015-01-07 00:45:00",10.714
"2015-01-07 01:00:00",10.8
"2015-01-07 01:15:00",10.8
"2015-01-07 01:30:00",10.944
"2015-01-07 01:45:00",10.8
"2015-01-07 02:00:00",10.838
"2015-01-07 02:15:00",10.733
"2015-01-07 02:30:00",10.906
"2015-01-07 02:45:00",10.963
"2015-01-07 03:00:00",10.8
"2015-01-07 03:15:00",10.8
"2015-01-07 03:30:00",10.838
"2015-01-07 03:45:00",10.752
"2015-01-07 04:00:00",10.886
"2015-01-07 04:15:00",10.848
"2015-01-07 04:30:00",10.723
"2015-01-07 04:45:00",13.709
"2015-01-07 05:00:00",17.213
"2015-01-07 05:15:00",20.429
"2015-01-07 05:30:00",22.128
"2015-01-07 05:45:00",21.802
"2015-01-07 06:00:00",21.792
"2015-01-07 06:15:00",22.138
"2015-01-07 06:30:00",21.888
"2015-01-07 06:45:00",18.749
"2015-01-07 07:00:00",18.24
"2015-01-07 07:15:00",18.528
"2015-01-07 07:30:00",24.653
"2015-01-07 07:45:00",23.962
"2015-01-07 08:00:00",23.405
"2015-01-07 08:15:00",23.395
"2015-01-07 08:30:00",23.99
"2015-01-07 08:45:00",22.675
"2015-01-07 09:00:00",21.466
"2015-01-07 09:15:00",21.312
"2015-01-07 09:30:00",21.706
"2015-01-07 09:45:00",25.69
"2015-01-07 10:00:00",25.325
"2015-01-07 10:15:00",24.662
"2015-01-07 10:30:00",21.61
"2015-01-07 10:45:00",22.656
"2015-01-07 11:00:00",22.589
"2015-01-07 11:15:00",22.57
"2015-01-07 11:30:00",22.752
"2015-01-07 11:45:00",22.483
"2015-01-07 12:00:00",22.205
"2015-01-07 12:15:00",21.13
"2015-01-07 12:30:00",19.997
"2015-01-07 12:45:00",20.141
"2015-01-07 13:00:00",19.67
"2015-01-07 13:15:00",19.19
"2015-01-07 13:30:00",19.93
"2015-01-07 13:45:00",19.661
"2015-01-07 14:00:00",20.851
"2015-01-07 14:15:00",20.87
"2015-01-07 14:30:00",21.514
"2015-01-07 14:45:00",22.166
"2015-01-07 15:00:00",22.406
"2015-01-07 15:15:00",21.226
"2015-01-07 15:30:00",20.429
"2015-01-07 15:45:00",20.957
"2015-01-07 16:00:00",24.086
"2015-01-07 16:15:00",21.965
"2015-01-07 16:30:00",19.238
"2015-01-07 16:45:00",18.72
"2015-01-07 17:00:00",18.931
"2015-01-07 17:15:00",17.117
"2015-01-07 17:30:00",16.56
"2015-01-07 17:45:00",15.158
"2015-01-07 18:00:00",14.179
"2015-01-07 18:15:00",13.699
"2015-01-07 18:30:00",13.872
"2015-01-07 18:45:00",12.998
"2015-01-07 19:00:00",13.373
"2015-01-07 19:15:00",14.534
"2015-01-07 19:30:00",14.515
"2015-01-07 19:45:00",13.939
"2015-01-07 20:00:00",14.467
"2015-01-07 20:15:00",15.206
"2015-01-07 20:30:00",13.622
"2015-01-07 20:45:00",15.802
"2015-01-07 21:00:00",18.768
"2015-01-07 21:15:00",19.507
"2015-01-07 21:30:00",16.618
"2015-01-07 21:45:00",15.571
"2015-01-07 22:00:00",15.341
"2015-01-07 22:15:00",16.147
"2015-01-07 22:30:00",19.133
"2015-01-07 22:45:00",19.152
"2015-01-07 23:00:00",18.797
"2015-01-07 23:15:00",15.504
"2015-01-07 23:30:00",15.686
"2015-01-07 23:45:00",16.81
"2015-01-08 00:00:00",14.717
"2015-01-08 00:15:00",10.858
"2015-01-08 00:30:00",10.848
"2015-01-08 00:45:00",10.867
"2015-01-08 01:00:00",10.963
"2015-01-08 01:15:00",10.963
"2015-01-08 01:30:00",10.742
"2015-01-08 01:45:00",11.03
"2015-01-08 02:00:00",10.944
"2015-01-08 02:15:00",10.829
"2015-01-08 02:30:00",10.771
"2015-01-08 02:45:00",10.8
"2015-01-08 03:00:00",10.944
"2015-01-08 03:15:00",11.011
"2015-01-08 03:30:00",10.79
"2015-01-08 03:45:00",11.05
"2015-01-08 04:00:00",11.002
"2015-01-08 04:15:00",11.011
"2015-01-08 04:30:00",12.211
"2015-01-08 04:45:00",14.141
"2015-01-08 05:00:00",19.69
"2015-01-08 05:15:00",23.952
"2015-01-08 05:30:00",24.682
"2015-01-08 05:45:00",26.352
"2015-01-08 06:00:00",24.672
"2015-01-08 06:15:00",22.042
"2015-01-08 06:30:00",19.594
"2015-01-08 06:45:00",18.816
"2015-01-08 07:00:00",18.778
"2015-01-08 07:15:00",20.822
"2015-01-08 07:30:00",22.387
"2015-01-08 07:45:00",22.925
"2015-01-08 08:00:00",23.395
"2015-01-08 08:15:00",23.693
"2015-01-08 08:30:00",23.76
"2015-01-08 08:45:00",23.75
"2015-01-08 09:00:00",23.27
"2015-01-08 09:15:00",21.514
"2015-01-08 09:30:00",21.926
"2015-01-08 09:45:00",21.37
"2015-01-08 10:00:00",21.946
"2015-01-08 10:15:00",23.52
"2015-01-08 10:30:00",25.133
"2015-01-08 10:45:00",23.741
"2015-01-08 11:00:00",23.136
"2015-01-08 11:15:00",22.57
"2015-01-08 11:30:00",22.598
"2015-01-08 11:45:00",22.349
"2015-01-08 12:00:00",23.328
"2015-01-08 12:15:00",21.158
"2015-01-08 12:30:00",20.112
"2015-01-08 12:45:00",19.92
"2015-01-08 13:00:00",20.554
"2015-01-08 13:15:00",21.35
"2015-01-08 13:30:00",19.517
"2015-01-08 13:45:00",18.864
"2015-01-08 14:00:00",19.642
"2015-01-08 14:15:00",20.131
"2015-01-08 14:30:00",20.89
"2015-01-08 14:45:00",20.957
"2015-01-08 15:00:00",21.686
"2015-01-08 15:15:00",21.523
"2015-01-08 15:30:00",20.314
"2015-01-08 15:45:00",20.419
"2015-01-08 16:00:00",19.824
"2015-01-08 16:15:00",18.125
"2015-01-08 16:30:00",18.192
"2015-01-08 16:45:00",16.752
"2015-01-08 17:00:00",14.794
"2015-01-08 17:15:00",14.861
"2015-01-08 17:30:00",15.331
"2015-01-08 17:45:00",14.15
"2015-01-08 18:00:00",13.718
"2015-01-08 18:15:00",14.678
"2015-01-08 18:30:00",13.632
"2015-01-08 18:45:00",13.642
"2015-01-08 19:00:00",13.296
"2015-01-08 19:15:00",13.43
"2015-01-08 19:30:00",13.814
"2015-01-08 19:45:00",14.141
"2015-01-08 20:00:00",14.371
"2015-01-08 20:15:00",13.402
"2015-01-08 20:30:00",13.699
"2015-01-08 20:45:00",15.61
"2015-01-08 21:00:00",15.466
"2015-01-08 21:15:00",15.974
"2015-01-08 21:30:00",13.718
"2015-01-08 21:45:00",11.818
"2015-01-08 22:00:00",12.25
"2015-01-08 22:15:00",12.374
"2015-01-08 22:30:00",14.294
"2015-01-08 22:45:00",14.323
"2015-01-08 23:00:00",15.274
"2015-01-08 23:15:00",15.091
"2015-01-08 23:30:00",14.515
"2015-01-08 23:45:00",14.256
"2015-01-09 00:00:00",25.594
"2015-01-09 00:15:00",10.099
"2015-01-09 00:30:00",9.946
"2015-01-09 00:45:00",9.984
"2015-01-09 01:00:00",9.994
"2015-01-09 01:15:00",9.83
"2015-01-09 01:30:00",9.85
"2015-01-09 01:45:00",9.974
"2015-01-09 02:00:00",9.965
